ppt_index,stimulus_identity,rating,age,height,grip_strength,surpass,explanation,impose.will,correct.others,outdo.others,control.conversation,criticise,challenge.pov,lay.law,hate.pushy,pressure.others,stim_age,stim_age_sc,age_sc,height_sc,grip_strength_sc,IPIP,IPIP_sc
1,m(16)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,45,1.032383074,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(6)_masc.jpg,0,40,169,42,5,7,5,5,5,3,3,3,3,7,2,32,-0.086031923,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(20)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,21,-1.032383074,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(13)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,30,-0.258095768,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(19)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,21,-1.032383074,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(32)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,37,0.344127691,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(28)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,44,0.946351151,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(15)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,37,0.344127691,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(17)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,22,-0.946351151,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(27)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,40,0.60222346,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(14)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,34,0.086031923,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(8)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,55,1.892702302,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(3)_masc.jpg,0,40,169,42,5,7,5,5,5,3,3,3,3,7,2,23,-0.860319228,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(1)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,22,-0.946351151,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(29)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,22,-0.946351151,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(25)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,20,-1.118414997,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(12)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,37,0.344127691,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(31)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,18,-1.290478842,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(9)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,46,1.118414997,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(7)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,50,1.462542688,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(18)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,24,-0.774287305,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(30)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,62,2.494925762,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(5)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,52,1.634606533,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(22)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,23,-0.860319228,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(11)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,25,-0.688255382,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(10)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,20,-1.118414997,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(24)_masc.jpg,0,40,169,42,5,7,5,5,5,3,3,3,3,7,2,40,0.60222346,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(26)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,29,-0.344127691,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(23)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,32,-0.086031923,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(2)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,33,0,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(21)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,39,0.516191537,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
1,m(4)_masc.jpg,1,40,169,42,5,7,5,5,5,3,3,3,3,7,2,21,-1.032383074,-0.060211267,-1.252782805,-0.329773587,4.363636364,0.349027674
2,m(25)_masc.jpg,0,53,175,44,7,3,2,3,7,5,3,3,2,1,3,20,-1.118414997,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(9)_masc.jpg,0,53,175,44,7,3,2,3,7,5,3,3,2,1,3,46,1.118414997,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(11)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,25,-0.688255382,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(17)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,22,-0.946351151,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(30)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,62,2.494925762,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(6)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,32,-0.086031923,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(4)_masc.jpg,0,53,175,44,7,3,2,3,7,5,3,3,2,1,3,21,-1.032383074,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(21)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,39,0.516191537,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(15)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,37,0.344127691,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(31)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,18,-1.290478842,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(19)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,21,-1.032383074,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(10)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,20,-1.118414997,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(13)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,30,-0.258095768,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(26)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,29,-0.344127691,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(28)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,44,0.946351151,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(32)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,37,0.344127691,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(1)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,22,-0.946351151,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(5)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,52,1.634606533,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(14)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,34,0.086031923,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(27)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,40,0.60222346,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(8)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,55,1.892702302,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(23)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,32,-0.086031923,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(20)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,21,-1.032383074,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(24)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,40,0.60222346,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(18)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,24,-0.774287305,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(7)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,50,1.462542688,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(22)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,23,-0.860319228,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(3)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,23,-0.860319228,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(12)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,37,0.344127691,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(16)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,45,1.032383074,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(29)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,22,-0.946351151,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
2,m(2)_masc.jpg,1,53,175,44,7,3,2,3,7,5,3,3,2,1,3,33,0,0.77651772,-0.249837604,-0.12866576,3.545454545,-0.581342273
3,m(14)_masc.jpg,1,52,173,40,5,1,2,2,3,1,6,3,1,3,5,34,0.086031923,0.712153952,-0.584152671,-0.530881414,2.909090909,-1.304963342
3,m(8)_masc.jpg,0,52,173,40,5,1,2,2,3,1,6,3,1,3,5,55,1.892702302,0.712153952,-0.584152671,-0.530881414,2.909090909,-1.304963342
3,m(4)_masc.jpg,1,52,173,40,5,1,2,2,3,1,6,3,1,3,5,21,-1.032383074,0.712153952,-0.584152671,-0.530881414,2.909090909,-1.304963342
